Gene_name,GSM1178970,GSM1178971,GSM1178972,GSM1178973,GSM1178974,GSM1178975,GSM1178977,GSM1178978,GSM1178979,GSM1178980,GSM1178986,GSM1178987,GSM1178988,GSM1178989,GSM1178993,GSM1178995,GSM1178996,GSM1178998,GSM1178999,GSM1179001,GSM1179002,GSM1179003,GSM1179004,GSM1179006,GSM1179008,GSM1179010,GSM1179015,GSM1179017,GSM1179018,GSM1179021,GSM1179024,GSM1179025,GSM1179026,GSM1179027,GSM1179033,GSM1179035,GSM1179036,GSM1179037
GAMT,10.15114067,9.826276579,9.530711097000001,9.807144284,9.992553752000001,9.736553964,9.740418572000001,9.792628726,9.720527542000001,9.965025464,9.080300697,9.412114096,9.673385122000001,9.643023595,10.03924176,9.917548004,9.794401919,9.768612455,9.808253371000001,8.822682046,9.408968327,9.705725005,9.577080605,9.74006585,8.971572815,9.000246936,9.341058017,9.310095313,9.724338088,9.908281306000001,9.909547815,10.42178445,9.332848952,9.988887595,9.871304621,9.808239071000001,9.843633378,9.616161451
MEX3D,7.088680144,6.915266521,7.498686178,6.70649652,7.064688277999999,6.587990041,7.043642843,6.897055667,6.968380298,6.766934985,7.135648122,6.883815284,7.044166064,6.765685993,6.444867472,6.9235435579999995,7.197087389,6.643770709,7.431286924,6.8869591770000005,7.165776567000001,7.03993159,6.8436870160000005,7.015025,6.925376161,6.495589325,6.9174006210000005,7.373553116,6.700603044,6.901802812000001,6.9236627760000005,7.090517397999999,7.057025556,6.71974303,6.991612704,6.992169587999999,6.832554905,6.77430769
UQCR11,8.780296205,8.756503233,9.15131769,8.224526893,9.065237545,8.765477178,8.963254501,8.752598965,8.78847309,8.981200131,8.750370768,8.624369523,8.452234471,8.497152505,8.343848119,8.607647613,8.699525962000001,8.573911021,8.953732977,8.470707201,8.664486343,8.617195787,8.561490925,8.380275532,8.581166792000001,8.087490459,8.601962045,8.382107213,8.134012025,8.57061191,8.759595602000001,8.693746452000001,8.535830154,8.78050225,8.670843428,8.652279028999999,8.46777239,8.633744027999999
REXO1,6.109948327000001,5.93903374,6.297939747999999,6.382091983,6.065277805,6.286138911,6.214774837999999,6.281082846,6.648945467000001,6.285771913,6.629457863,6.402601701,6.498106288,6.370904491,6.203340964,6.2177562239999995,6.358430137999999,6.230360685,6.999577743,6.131124409,5.630543555,6.6555373179999995,6.499129535,6.471598956,6.116417417,6.392860827000001,5.759443828999999,6.499929757,6.353059878,6.675555403,6.414293009,6.915596275,6.044093117,6.635004267,6.218681291,6.421427249,6.24342174,6.2170233
PLEKHJ1,6.787294075,6.80053298,7.121990915,6.793021477999999,6.933391843,7.129535563999999,6.837672185,6.627492612,6.888715252000001,6.86832532,6.929175869,6.475068694,6.609997963,6.6453480570000005,6.711080775,6.900365611000001,6.791377205,6.650890995,7.066526982,6.77973851,6.782980329,6.875256554,6.516741477,6.880497427000001,6.696286347000001,6.368596809,6.018202494,6.27844823,6.492528273,6.614943785,6.618420959,6.973334697,6.600771301,7.0721922479999995,6.877809047,6.47118887,6.849068479,6.666362777000001
AES,8.712464921,8.664379672,9.201135122,8.610691698,8.934661743,8.915158767000001,9.013898887,8.59364194,8.897614329,8.735418416,8.910656636,8.509788477,8.993833876,8.8956462,8.602534662,8.584655627,8.596357022000001,8.478175692,8.865473271,8.664877064,8.752670382,8.669116601,8.62508919,8.675409056,8.572349473,8.367408906,8.450193657,8.782025812,8.597429581,8.77230171,8.799624707000001,8.804895208,8.803880968,8.589655087999999,9.050041477999999,8.801182236,8.971682402,8.821667317000001
TBXA2R,6.177503059,5.7760039910000005,5.917357204,6.091152712,6.357861146,5.997122906,5.969352159,6.077254228999999,6.072736207999999,5.657604159,6.158943857000001,6.332816807,6.15695828,6.133327217000001,6.031244419,6.158364132000001,6.017443697,6.233816249,6.733704174,5.390711227000001,6.064606147,6.203325646000001,6.287369634,6.22918577,5.949361317999999,6.855644308,5.92214303,6.299272875,5.834526554,6.487390177999999,6.0774561920000005,6.898634097,6.356842529,6.0526936,6.027020274,6.45079917,6.466562295,5.685600046
APBA3,5.391950281000001,5.001074603,5.55403212,4.993689058,5.368570916,5.427324756,5.565869306000001,5.223660357,5.342703688,5.447284225,5.033529315,5.371131986,5.547300711,5.363988926,5.283004987,5.4637190879999995,5.253392843,4.842173047,5.814669424,5.0006568,5.089686157,5.483323856,5.364835255,5.294094315,5.370702077000001,5.245980402,5.227313762,5.1004277039999995,5.047295545,5.284980373,5.083751278,5.744234291000001,4.772195346,5.4474369970000005,4.841789121000001,5.152131176,5.07812203,5.356418571
EEF2,11.593942,11.49132969,11.61839804,11.28490168,11.49569771,11.34192404,11.594732800000001,11.65925073,11.46311966,11.28036519,11.41484107,11.48317382,11.49441904,11.37000571,11.24387802,11.72453574,11.50151043,11.58355761,11.5980633,11.5138302,11.63634088,11.40113015,11.55930278,11.3159434,11.43092454,11.56025311,11.26224333,11.37109637,11.25990824,11.21552196,11.53145613,11.82487934,11.37587536,11.13256742,11.50683263,11.54583233,11.61009114,11.52363504
ZBTB7A,7.194981459,7.225957794,7.544970809,7.477708914,7.304383189,7.344004794,7.4894889120000006,7.194954717999999,7.501660382000001,7.404483213,7.106971553999999,7.0871913410000005,7.296953242000001,7.155008829,7.029973667999999,7.162111659,7.35278014,6.993965576,7.841385258,7.143128333,7.149573039,7.193214857,7.283320032000001,7.260709176000001,7.535970415,7.4017183520000005,7.184303354,7.402773138,7.231702891,7.341941296,7.279466576,7.834253192,7.234638981,7.425922507999999,7.422402422999999,7.342388591000001,7.27182739,6.993543248
