ID_REF,GSM1178970,GSM1178971,GSM1178972,GSM1178973,GSM1178974,GSM1178975,GSM1178976,GSM1178977,GSM1178978,GSM1178979,GSM1178980,GSM1178981,GSM1178982,GSM1178983,GSM1178984,GSM1178985,GSM1178986,GSM1178987,GSM1178988,GSM1178989,GSM1178990,GSM1178991,GSM1178992,GSM1178993,GSM1178994,GSM1178995,GSM1178996,GSM1178998,GSM1178999,GSM1179001,GSM1179002,GSM1179003,GSM1179004,GSM1179005,GSM1179006,GSM1179007,GSM1179008,GSM1179010,GSM1179012,GSM1179015,GSM1179016,GSM1179017,GSM1179018,GSM1179021,GSM1179024,GSM1179025,GSM1179026,GSM1179027,GSM1179030,GSM1179033,GSM1179035,GSM1179036,GSM1179037,GSM1179038
XPR1,6.586791695,6.4659760120000005,6.564805957999999,6.376102316,6.7680922689999985,6.481793858,6.565500164,6.511582916,6.527819209,6.193352152999999,6.543410914,6.716412109,6.45511807,6.554243367000001,6.809815484,6.296347595,6.48447814,6.608987132999999,6.59140523,6.663099598,6.519126484,6.239026541,6.688528722,6.403065542,6.62556311,6.60555752,7.015397841,7.027034044,6.0489750870000005,7.201588384,7.0617792339999985,6.257875319,6.6609630960000015,6.5410067000000005,6.57935003,6.650407283,6.817052007999999,6.653921049,7.230907632999999,6.923728647999999,6.693574637999999,6.019206202,6.512822261,6.4720232310000005,6.712205751,6.791009363,6.662557232999999,6.736395009,6.3690372470000005,6.786976475,6.775037485,6.5719750339999985,6.801434759,6.417585261
CACNA1E,3.030415215,2.857852696,3.07742964,2.99712223,3.485010397,2.905770296,3.091133586,2.824237838,2.958511729,3.092637487,2.886916689,3.0263720430000003,2.914740431,3.0525262360000003,3.043724609,3.135453174,3.041256294,3.114462828,3.290211705,3.1012111460000003,2.818949953,2.9595989910000005,2.774227961,3.0459917080000003,3.083120724,2.865697937,3.042007288,2.923243319,3.188892335,2.963140493,2.908686065,3.0093351260000003,3.127610605,2.97171579,3.064491335,2.908517905,3.1939581880000003,2.857697597,2.999638102,3.153971593,3.510293598,3.490768979,3.028326872,3.2087707739999995,3.2791921360000003,3.043724609,3.036747946,2.949336197,3.043724609,3.043724609,2.821111472,3.123438778,3.043724609,2.8813113460000004
SDCCAG8,6.078350845,6.52149408,5.740923322,6.5564810620000005,5.990618856,6.5347644360000015,6.28150705,5.915499705,6.503715541,6.080125377999999,6.590626863,6.41608197,6.371283414,6.438113165,6.469481974,6.373710437000001,6.641178487,6.359496802000001,6.201473448,6.366305429,6.682218961,7.022979625,6.567740392,6.059220251,6.4861016089999985,6.333704158,6.39474256,6.705291272,6.324294585,6.657117949,6.412283932999999,5.9886934310000015,6.411949008,6.579214157000001,6.344149636,6.679233386,6.587613937,6.7410810560000005,6.918148145,7.093113529,6.411786697,6.478401763,6.424595148,6.140965074,6.774702801,5.6199032760000005,6.486124942000001,6.117898246,6.50716135,6.2412874889999985,6.526527896,6.276496363,6.399848481,6.698235842000001
ERRFI1,11.84951874,11.71326715,11.67901479,11.80632178,11.85411376,11.38622094,11.38390091,11.3322107,12.21284203,11.93750161,11.3570679,11.835342,11.54072309,12.27747741,12.03177779,11.76891995,11.88938711,12.23735619,10.8389636,11.99045359,11.76112352,11.32833183,11.48831238,11.5982448,12.40094411,11.43450221,11.58668075,12.08748006,11.80763534,11.23354306,11.25508155,11.10528256,12.23669096,10.53306122,11.7481999,11.24996034,11.06781384,10.1992189,11.28472358,11.62669489,11.86022361,11.78955009,10.94563292,11.20672306,11.825037599999998,12.16225157,11.62169944,11.44512244,12.26863341,11.40561121,11.02054595,11.63660399,12.01422219,11.01568302
CLSTN1,6.4207365460000005,6.688458466,6.521846322999999,6.056986882,6.214081506,6.388559411,7.330551252999999,6.518235019,6.651767342,6.591503818,6.408255369,6.623911157999999,6.763952804,6.768241001,6.699191606,6.7727517000000015,7.008237524,6.8339908860000005,6.7083901789999985,6.636680598,6.915278738,6.154991984,6.603462092000001,6.496949071,6.54051053,6.57173668,6.7779947510000005,6.989863783,6.71045129,6.904891373,6.59721227,6.8741136639999985,6.799317765,6.616860656,6.86306778,6.707949017000001,6.538891402999999,6.476407899,7.029560706,6.838623361000002,6.8075590120000005,6.829010352,6.956695122,6.485525764,6.359563655,6.820770242999999,7.098914715,6.669186575,6.935173782000001,6.555175442,7.078917868,6.678842329,6.862053733,6.777851707000001
NFYC,4.948899455,5.090572386,5.469298973,5.450613774,5.028186912,5.262372171,5.354367671,4.964818201,4.834486909,5.19052771,5.7391804460000015,5.163588198,5.333376733,4.586836126000001,5.027997968,5.043208764,5.078597587,5.05846336,4.999304155,5.459699258,5.079538689,5.591582988,5.3775046810000005,5.306681823,5.313589672,5.17819019,5.141198102,5.031250141,5.514900574,5.244691334,5.147942137,5.136578321,5.445487542,5.441105957,5.442910246,5.17819019,5.016409927,5.0795312610000005,4.832798397,4.951396513,4.795159299,4.954971727,5.220105169,5.047451789,5.26354873,4.577781435,4.8675450080000005,5.616011409,5.177390081,5.035203616,5.313801736,5.028499409,4.792360391,4.908693676
FAF1,7.428893415,7.577042199,7.368073422,7.689356642999999,7.226089663,7.600527379,7.254316931,7.419609635,7.703731482,7.2049750470000005,7.345417638,7.501227929,7.57697362,7.451488942999999,7.453271042999999,7.550766082999999,7.32910171,7.3637745,7.455376286,7.485139853,7.627531015,7.593688827,7.422143738,7.359066754,7.753235546,7.751645031,7.525386547999999,7.71018616,7.245473585,7.434576341,7.433982522999999,7.177365836,7.319479979,7.578293317999999,7.509955551,7.548265132999999,7.422732957000001,7.547591002000001,7.67924898,7.668820571,7.451094727,7.072598201,7.551240938999999,6.915141417,7.88443582,7.0419936289999985,7.359560279,7.425992668999998,7.370820837,7.510122465,7.483805323999999,7.560998767999999,7.468736177999999,7.56608734
CRTC2,7.206073726,6.781685327999999,7.236072699,7.229486219,6.792766482,7.150277138,7.21774478,7.241281043,6.939197277000001,7.167782226,6.963006209,7.255360613,7.071745965,7.135143307000001,7.012567824,7.26509345,6.730497569,7.094323387999999,6.993051352999999,7.078152374,7.114905564,6.818488901,7.242568009,7.255117046,6.874016707000001,6.914528268,6.998859277,6.808544381,7.43524199,6.47127566,6.518099159,7.098075705,7.256618865,7.150179173,6.769427114,6.826183874,6.622753587,6.715929479,6.91564161,6.7062610560000016,6.865486037,6.469882729,7.0469865989999985,7.258871612999999,7.045735387000001,7.902277134,7.015143658,8.032889267,7.28339146,7.136446236,7.200151872,7.257292709,6.808972381,6.917040813
ISG20L2,7.376218979,7.30194287,7.089891698,7.374429273,7.2772784060000015,7.283594886,7.564033426,7.475890165,7.147089163,7.488908779,7.44794107,7.235890658,7.056168153,7.198333972,7.3620797960000015,7.433365446,6.832359092999999,7.272684012999999,7.350412059,7.336882097999999,7.462649002999999,6.947255009,7.247373183,7.266232352,7.250503502000001,7.241840757,7.474491581,7.00204409,7.169101941,7.295304732000001,7.073593037999999,7.414937677,7.265576665,7.416161692999999,6.950737019,7.332365366,7.187191994,8.279413431,7.230217962,6.699102686,7.237373446,7.482729592999999,7.301711822000001,7.044550298,7.291311117999999,7.615429973999999,7.18074681,7.21125448,7.372138844,7.536987148,7.4385522060000016,7.493636913,7.295960637,7.398644246
PTPN7,4.323306377,4.727478563,3.989774009,3.556665923,4.5249261380000005,4.185769763,3.832379367,4.071954273,3.560298818,4.135190304,4.320725417,3.4896196660000003,3.73542443,3.987837491,3.862147955,4.191428061,4.325028897,3.819640169,3.816081258,3.955319481,3.964649482,3.935212365,3.965826535,4.301171636,4.282488068,4.159757954,3.750556287,3.815624589,4.179639204,4.260069774,3.94472824,4.347594999,3.890960264,3.852117221,3.930092301,4.726276761,4.029072084,4.53309626,3.881968371,3.847405177,4.791724543,4.521864582,4.325488507,4.637820655,3.957796858,3.997253323,5.066687077,4.144983436,4.050887258,3.850805174,4.454811351,4.170338482,3.951084776,4.369961228
HHEX,7.733708851,7.59471456,7.736810472999999,7.562684217999999,7.482216015,8.127176261,8.091635272000001,8.019252737999999,7.240393188,8.099674957000001,7.955570846,8.449823566000001,7.836701712000001,7.702666637999999,7.237477511,7.820365774,7.657550636,7.870029735,7.685768322,7.098989212999999,7.949394317999999,8.058637632,7.871447002999999,7.887662411,6.623898105,8.092010326,7.590339352999999,6.407603977999999,8.036998909,7.535044325,7.365470552000001,8.191979718999999,8.13549228,7.717495173,7.809478524,7.85657076,7.4612053189999985,7.481929166,7.619604012999999,7.703052626,7.505675385,7.98073651,7.923192041,7.966675377,8.128383626,7.304250828,7.742027815,7.968108585,7.491007656,7.805800435,7.9103753060000015,7.805218235,7.356684904,7.709852688
