ID_REF,GSM1178970,GSM1178971,GSM1178972,GSM1178973,GSM1178974,GSM1178975,GSM1178976,GSM1178977,GSM1178978,GSM1178979,GSM1178980,GSM1178981,GSM1178982,GSM1178983,GSM1178984,GSM1178985,GSM1178986,GSM1178987,GSM1178988,GSM1178989,GSM1178990,GSM1178991,GSM1178992,GSM1178993,GSM1178994,GSM1178995,GSM1178996,GSM1178998,GSM1178999,GSM1179001,GSM1179002,GSM1179003,GSM1179004,GSM1179005,GSM1179006,GSM1179007,GSM1179008,GSM1179010,GSM1179012,GSM1179015,GSM1179016,GSM1179017,GSM1179018,GSM1179021,GSM1179024,GSM1179025,GSM1179026,GSM1179027,GSM1179030,GSM1179033,GSM1179035,GSM1179036,GSM1179037,GSM1179038
HMGN2,9.450186049,9.84663682,9.879766786,9.110460256,9.659427543,10.00913452,9.895207391,10.23375811,9.591069428,9.857682603,9.962970247,9.754747693,9.469550889,9.403269798,9.432988245,9.570461648,9.530786545,9.330023525,9.042479049,9.09037779,9.483177984,9.692136534,8.828492551,9.386246343,9.610980818,9.458966835,9.664960887,9.752650649,9.303542877,9.615891568,9.136100077,9.53352151,9.480489468,9.791009977,9.278279385,9.725535011,9.442765969,9.225870361,9.04064661,8.735301607,9.833321875,9.811028605,9.453820249,10.01427713,8.546753065,9.805451354,9.706296399,10.43608324,9.509443687,9.554429969,9.487850992,9.628520717,9.634524913,9.619708126
RPS6KA1,5.81750505,6.564052433,7.206863839,6.324692389,6.623708244,6.727027443,6.626141251,6.391234092,6.054973026,5.940604744,7.031840638,6.079262356,6.135127125,6.319676442,6.575862708,6.30872001,6.46253961,6.564924425,6.722106702,6.662812478,6.044254077,6.807067267,6.648190386,6.256025152,5.981873193,6.47855123,6.93397139,6.108547659,6.637548329,7.166253471,7.879786645,6.623442606,6.895035711,7.064941678,6.693658141,7.081820556,7.836827466,6.542772553,6.440417905,6.877370746,6.015998566,7.24104368,6.133181435,6.651827795,5.824147404,6.674728254,6.739724249,6.539394855,5.795927685,6.473926325,6.956360965,7.143219178,7.268481445,6.549248687
ZDHHC18,7.447528556,7.372830635,7.186733121,7.673898833,7.281349811,7.489532491,7.610138449,7.815041631,7.454207067,7.716199301,7.14191965,7.45850261,7.374320243,7.734965008,7.280510495,7.697348403,7.097963705,7.543943173,7.33991908,7.72495027,7.662061253,7.275458754,7.549758226,8.079724257,7.275506733,7.379730748,7.182689794,7.086308693,7.820827583,7.075317187,6.95908506,7.427023159,7.576162428,7.389330822,7.21030817,7.358291601,7.039414971,7.275122737,7.115496442,6.906102784,7.047028547,7.560544074,7.505026857,7.333469713,7.218264775,8.053141088,7.480757048,7.56981389,7.493627718,7.502730391,7.401247135,7.492655295,7.452987774,7.555122339
GPR3,4.91402252,4.471641156,4.707597948,4.637460531,5.295337686,4.508698651,5.076896611,4.493563742,4.438776366,5.263494306,4.822297884,4.839672324,4.916800871,5.206502419,4.378190493,4.851185334,4.334421952,4.717748923,4.704824324,4.575287395,4.517245295,4.470801163,4.105027449,4.675317568,4.712622155,4.754099583,4.39005108,4.111956616,4.888281656,4.259470909,4.220443799,4.997489098,4.609669378,4.318396163,4.841090275,3.980897139,4.315252396,5.15153315,4.892771021,4.445909517,4.263269428,4.004640271,4.495587141,4.975579931,3.801501805,4.963663412,4.588226841,5.093718999,4.767237665,4.614511899,4.654837449,4.551014293,4.453496356,4.766107476
FAM76A,6.337495995,6.424464259,6.244259308,6.541043369,6.134462011,6.559755927,5.958965215,6.375593786,6.551840325,6.178304386,6.537756515,6.560747201,5.973910859,6.682612386,6.186320882,6.013682447,6.565023484,7.292216559,6.571780191,6.604459005,6.310722634,6.611636366,6.541487841,6.209506028,7.01393334,6.376896491,6.611228061,6.664293169,6.203694588,6.518148525,6.633591319,6.237195112,6.418451247,6.698642199,6.739768878,6.790691654,6.758592874,5.753874571,6.180145275,6.204230382,6.959059728,6.625681024,6.581263111,5.957412748,6.668884161,5.774387329,6.711280172,6.092940025,6.710802795,6.41775632,6.162655513,6.273185781,6.240612638,6.338826671
GMEB1,5.808760419,5.587543295,5.86715837,5.72212524,5.727778654,5.581739712,5.948991782,5.891615444,5.90592465,5.682983514,5.213521641,5.914972382,5.514183048,5.641436978,6.031526088,5.710886195,5.509626857,5.785171728,5.98528731,5.818581842,5.969087409,6.012029827,6.213319311,5.61403626,5.86548762,6.192804451,5.967632217,5.877666772,5.753229258,5.774092115,5.847472782,5.110263875,5.727481874,6.226992143,5.88695668,6.069390562,5.648965172,6.660023032,5.990748375,5.56124538,5.449290868,5.483649831,5.937058497,5.65294207,5.635253011,6.119352993,5.935238339,5.636632194,5.566711265,5.793475729,5.727343382,5.938160117,5.874900209,6.245346671
EPB41,7.202523156,6.878321458,7.0821749,7.437750655,6.876670662,7.414928396,7.102705995,7.434360446,6.950400906,6.898829172,7.396880977,7.185683436,7.145645699,7.056590414,7.259987017,7.267386153,7.254318455,7.34537596,7.201710876,7.265504202,7.339430233,7.579909004,7.331607641,6.958131412,7.168293449,7.277639333,7.359914955,7.209856352,6.917284688,7.335187711,7.306100792,7.150521283,7.324338412,7.620431792,7.176687347,7.562018754,7.851986111,7.84230109,7.400485755,7.200542026,7.228332396,7.13249905,7.4269597,6.843525182,6.989489681,6.770231424,7.005693028,7.143874145,7.171236369,7.460749465,6.92903941,7.477088659,7.403099951,7.641953177
ZBTB8A,5.361440034,5.522796782,5.208949372,5.582505994,5.581951983,5.203738255,5.661011816,5.351520139,5.535951132,5.170312553,5.430325386,5.490374094,5.221140756,5.14136445,5.476488127,5.47143789,5.546388135,5.618052603,5.808840851,5.505665373,5.411000566,5.016575517,5.454013389,5.246870238,5.708432622,5.747201414,5.493674566,5.676863788,5.309972814,5.455862858,5.587384153,5.367349311,5.639325519,5.521912591,5.716234029,5.568229525,5.630497803,6.018840761,5.123053425,5.634822912,5.376334272,5.435352953,5.419867674,5.598666199,5.414366838,5.587672506,5.331975655,5.534231514,5.558376242,5.617493217,5.385773284,5.392498143,5.328493691,5.142927425
KIAA1522,5.630417138,5.92882409,6.237516959,5.810107432,6.054666493,5.662840587,5.732596678,5.693452481,5.302211169,5.649107961,6.078662497,5.836591809,5.659911124,5.569583595,5.962613366,5.370944444,4.982300157,5.347511108,5.887376624,5.712292926,5.502322073,5.455617276,5.566469,5.519158808,5.188855445,5.768544574,5.783126663,5.500426095,6.028937745,6.11833911,6.508742215,5.901994519,5.560777608,5.331132706,5.607509105,5.491898368,6.262725197,4.656718476,5.797559181,5.671258175,5.808599669,6.189626013,5.739470303,5.715067714,5.602009186,6.080120004,5.789005894,6.113084935,5.847354605,5.616181094,5.815151391,5.649793439,5.843126225,5.723268736
S100PBP,5.970076227,6.535307019,5.909871917,6.325091246,5.554848721,6.3443851,6.199533262,5.996982208,5.814379859,5.858639857,6.261549747,6.201187321,6.326761548,6.232966816,6.370748447,6.342453609,6.57115635,6.141202356,5.726838367,6.082501245,6.628480467,6.582329113,6.467587993,6.479372015,6.543306494,6.379983015,6.315296056,6.49134334,6.35107097,6.458354379,6.312376518,6.145637113,6.303661115,6.543681598,6.304865138,6.47684805,6.497608232,6.289168802,6.65465489,6.384121246,6.416974249,6.142377762,6.256326422,5.61596345,6.728360845,6.104192601,6.486423052,6.35149123,5.987728576,6.081217394,6.482296445,6.281073599,6.121943202,6.232164878
